Closing the Achievement Gap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBN,School Name,"Metric City Rating - Weighted Diploma Rate, 4 Year - ELL","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - ELL","Population Percentage of Range - Weighted Diploma Rate, 4 Year - ELL","Metric Value - Weighted Diploma Rate, 4 Year - ELL","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - ELL","Metric Score - Weighted Diploma Rate, 4 Year - ELL","Metric City Rating - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Population Percentage of Range - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Value - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric Score - Weighted Diploma Rate, 4 Year - SC/ICT/SETSS","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City","Metric City Rating - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Percentage of Enrollment - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Population Percentage of Range - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Value - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Approaching Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Meeting Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Exceeding Target For 2015 - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric Score - Weighted Diploma Rate, 4 Year - Lowest Third City Black or Hispanic Males","Metric City Rating - Percentage in Lowest Third City, College and Career Prep Course Index","Percentage of Enrollment - Percentage in Lowest Third City, College and Career Prep Course Index","Population Percentage of Range - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Value - Percentage in Lowest Third City, College and Career Prep Course Index","Approaching Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Meeting Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Exceeding Target For 2015 - Percentage in Lowest Third City, College and Career Prep Course Index","Metric Score - Percentage in Lowest Third City, College and Career Prep Course Index","Metric City Rating - Percentage in Lowest Third City, 4-year Non-Remediation Index","Percentage of Enrollment - Percentage in Lowest Third City, 4-year Non-Remediation Index","Population Percentage of Range - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Value - Percentage in Lowest Third City, 4-year Non-Remediation Index","Approaching Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Meeting Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Exceeding Target For 2015 - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric Score - Percentage in Lowest Third City, 4-year Non-Remediation Index","Metric City Rating - Percentage in Lowest Third City, PER, 6 Months After High School","Percentage of Enrollment - Percentage in Lowest Third City, PER, 6 Months After High School","Population Percentage of Range - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Value - Percentage in Lowest Third City, PER, 6 Months After High School","Approaching Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Meeting Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Exceeding Target For 2015 - Percentage in Lowest Third City, PER, 6 Months After High School","Metric Score - Percentage in Lowest Third City, PER, 6 Months After High School",,,,,,,
29Q248,Queens Preparatory Academy,N/A,4.9%,8.8%,100.0%,103.0%,163.9%,225.7%,,Approaching Target,12.2%,31.0%,160.0%,110.0%,197.0%,285.2%,2.57,Meeting Target,39.8%,59.8%,146.9%,71.2%,127.5%,184.6%,3.34,Meeting Target,24.4%,62.6%,143.3%,65.3%,116.9%,169.2%,3.50,Not Meeting Target,39.8%,59.8%,6.1%,7.3%,13.0%,18.9%,1.84,Exceeding Target,39.8%,59.8%,6.1%,1.4%,2.5%,3.7%,4.99,Meeting Target,40.4%,66.4%,20.5%,11.4%,20.4%,29.5%,3.01,,,,,,,
29Q259,Pathways College Preparatory School: A College Boa,N/A,3.4%,6.1%,,103.0%,163.9%,225.7%,,Approaching Target,14.9%,37.8%,115.4%,110.0%,197.0%,285.2%,2.06,Approaching Target,36.8%,55.3%,73.4%,71.2%,127.5%,184.6%,2.04,Approaching Target,21.8%,55.9%,65.8%,65.3%,116.9%,169.2%,2.01,Not Meeting Target,36.8%,55.3%,6.3%,7.3%,13.0%,18.9%,1.86,Meeting Target,36.8%,55.3%,3.1%,1.4%,2.5%,3.7%,3.50,Exceeding Target,39.7%,65.3%,40.0%,11.4%,20.4%,29.5%,4.76,,,,,,,
29Q265,Excelsior Preparatory High School,N/A,5.6%,10.1%,216.7%,103.0%,163.9%,225.7%,,Meeting Target,22.4%,56.9%,216.7%,110.0%,197.0%,285.2%,3.22,Meeting Target,43.9%,65.9%,155.3%,71.2%,127.5%,184.6%,3.49,Meeting Target,20.6%,52.8%,140.9%,65.3%,116.9%,169.2%,3.46,Approaching Target,43.9%,65.9%,10.6%,7.3%,13.0%,18.9%,2.58,Exceeding Target,43.9%,65.9%,4.3%,1.4%,2.5%,3.7%,4.35,Exceeding Target,35.1%,57.7%,45.0%,11.4%,20.4%,29.5%,4.99,,,,,,,
29Q272,George Washington Carver High School for the Scien,N/A,4.4%,7.9%,100.0%,103.0%,163.9%,225.7%,,N/A,8.8%,22.3%,308.3%,110.0%,197.0%,285.2%,,Meeting Target,30.7%,46.1%,150.0%,71.2%,127.5%,184.6%,3.39,Meeting Target,18.2%,46.7%,132.0%,65.3%,116.9%,169.2%,3.29,Not Meeting Target,30.7%,46.1%,2.4%,7.3%,13.0%,18.9%,1.33,Approaching Target,30.7%,46.1%,2.4%,1.4%,2.5%,3.7%,2.91,Exceeding Target,28.6%,47.0%,37.5%,11.4%,20.4%,29.5%,4.58,,,,,,,
29Q283,Preparatory Academy for Writers: A College Board S,N/A,1.2%,2.2%,,103.0%,163.9%,225.7%,,Exceeding Target,23.2%,58.9%,305.3%,110.0%,197.0%,285.2%,4.15,Exceeding Target,39.0%,58.6%,250.0%,71.2%,127.5%,184.6%,4.75,Exceeding Target,19.5%,50.0%,312.5%,65.3%,116.9%,169.2%,4.99,Not Meeting Target,39.0%,58.6%,6.3%,7.3%,13.0%,18.9%,1.86,Meeting Target,39.0%,58.6%,3.1%,1.4%,2.5%,3.7%,3.50,Exceeding Target,35.0%,57.6%,32.1%,11.4%,20.4%,29.5%,4.19,,,,,,,
29Q313,Benjamin Franklin High School for Finance & Inform,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
29Q326,Cambria Heights Academy,N/A,6.1%,11.0%,40.0%,103.0%,163.9%,225.7%,,Exceeding Target,14.6%,37.1%,300.0%,110.0%,197.0%,285.2%,4.11,Approaching Target,29.3%,44.0%,120.8%,71.2%,127.5%,184.6%,2.88,Not Meeting Target,13.4%,34.4%,45.5%,65.3%,116.9%,169.2%,1.70,Exceeding Target,29.3%,44.0%,70.8%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,29.3%,44.0%,0.0%,1.4%,2.5%,3.7%,1.00,Approaching Target,39.1%,64.3%,18.5%,11.4%,20.4%,29.5%,2.79,,,,,,,
29Q327,Eagle Academy for Young Men III,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
29Q492,"Mathematics, Science Research and Technology Magne",N/A,7.7%,13.8%,200.0%,103.0%,163.9%,225.7%,,Meeting Target,11.0%,27.9%,200.0%,110.0%,197.0%,285.2%,3.03,Approaching Target,36.3%,54.5%,124.2%,71.2%,127.5%,184.6%,2.94,Meeting Target,25.3%,64.9%,130.4%,65.3%,116.9%,169.2%,3.26,Approaching Target,36.3%,54.5%,9.1%,7.3%,13.0%,18.9%,2.32,Exceeding Target,36.3%,54.5%,6.1%,1.4%,2.5%,3.7%,4.99,Approaching Target,33.3%,54.8%,16.1%,11.4%,20.4%,29.5%,2.52,,,,,,,
29Q494,"Law, Government and Community Service High School",N/A,6.8%,12.2%,80.0%,103.0%,163.9%,225.7%,,Approaching Target,18.9%,48.0%,182.1%,110.0%,197.0%,285.2%,2.83,Meeting Target,51.4%,77.2%,140.8%,71.2%,127.5%,184.6%,3.23,Approaching Target,27.0%,69.2%,102.5%,65.3%,116.9%,169.2%,2.72,Not Meeting Target,51.4%,77.2%,0.0%,7.3%,13.0%,18.9%,1.00,Meeting Target,51.4%,77.2%,2.6%,1.4%,2.5%,3.7%,3.08,Meeting Target,51.2%,84.2%,23.8%,11.4%,20.4%,29.5%,3.37,,,,,,,
29Q496,"Business, Computer Applications & Entrepreneurship",N/A,10.6%,19.0%,114.3%,103.0%,163.9%,225.7%,,Approaching Target,21.2%,53.8%,164.3%,110.0%,197.0%,285.2%,2.62,Approaching Target,53.0%,79.6%,114.3%,71.2%,127.5%,184.6%,2.77,Approaching Target,34.8%,89.2%,108.7%,65.3%,116.9%,169.2%,2.84,Exceeding Target,53.0%,79.6%,62.9%,7.3%,13.0%,18.9%,4.99,Meeting Target,53.0%,79.6%,2.9%,1.4%,2.5%,3.7%,3.33,Meeting Target,73.6%,100.0%,23.1%,11.4%,20.4%,29.5%,3.30,,,,,,,
29Q498,Humanities & Arts Magnet High School,N/A,6.5%,11.7%,200.0%,103.0%,163.9%,225.7%,,Meeting Target,16.3%,41.4%,245.0%,110.0%,197.0%,285.2%,3.54,Meeting Target,39.8%,59.8%,156.1%,71.2%,127.5%,184.6%,3.50,Meeting Target,22.0%,56.4%,131.5%,65.3%,116.9%,169.2%,3.28,Exceeding Target,39.8%,59.8%,22.4%,7.3%,13.0%,18.9%,4.39,Approaching Target,39.8%,59.8%,2.0%,1.4%,2.5%,3.7%,2.55,Exceeding Target,40.0%,65.8%,32.4%,11.4%,20.4%,29.5%,4.21,,,,,,,
30Q258,Energy Tech High School,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
30Q286,"Young Women's Leadership School, Astoria",N/A,8.1%,14.5%,233.3%,103.0%,163.9%,225.7%,,N/A,5.4%,13.7%,,110.0%,197.0%,285.2%,,N/A,12.2%,18.3%,288.9%,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,12.2%,18.3%,11.1%,7.3%,13.0%,18.9%,,N/A,12.2%,18.3%,22.2%,1.4%,2.5%,3.7%,,N/A,14.1%,23.2%,63.6%,11.4%,20.4%,29.5%,,,,,,,,
30Q301,Academy for Careers in Television and Film,N/A,9.9%,17.8%,365.0%,103.0%,163.9%,225.7%,,Exceeding Target,16.8%,42.6%,582.4%,110.0%,197.0%,285.2%,4.99,Exceeding Target,26.7%,40.1%,403.7%,71.2%,127.5%,184.6%,4.99,Exceeding Target,10.9%,27.9%,431.8%,65.3%,116.9%,169.2%,4.99,Exceeding Target,26.7%,40.1%,92.6%,7.3%,13.0%,18.9%,4.99,Exceeding Target,26.7%,40.1%,18.5%,1.4%,2.5%,3.7%,4.99,Exceeding Target,25.0%,41.1%,62.5%,11.4%,20.4%,29.5%,4.99,,,,,,,
30Q445,William Cullen Bryant High School,Approaching Target,26.2%,47.0%,157.4%,103.0%,163.9%,225.7%,2.89,Meeting Target,12.9%,32.7%,202.5%,110.0%,197.0%,285.2%,3.06,Meeting Target,31.7%,47.6%,137.8%,71.2%,127.5%,184.6%,3.18,Approaching Target,10.0%,25.6%,113.7%,65.3%,116.9%,169.2%,2.94,Exceeding Target,31.7%,47.6%,21.8%,7.3%,13.0%,18.9%,4.33,Exceeding Target,31.7%,47.6%,12.2%,1.4%,2.5%,3.7%,4.99,Meeting Target,33.2%,54.6%,28.3%,11.4%,20.4%,29.5%,3.87,,,,,,,
30Q450,Long Island City High School,Approaching Target,21.7%,39.0%,138.5%,103.0%,163.9%,225.7%,2.58,Meeting Target,18.3%,46.4%,197.4%,110.0%,197.0%,285.2%,3.00,Approaching Target,32.8%,49.2%,126.7%,71.2%,127.5%,184.6%,2.99,Approaching Target,14.7%,37.7%,116.0%,65.3%,116.9%,169.2%,2.98,Meeting Target,32.8%,49.2%,15.2%,7.3%,13.0%,18.9%,3.37,Exceeding Target,32.8%,49.2%,4.8%,1.4%,2.5%,3.7%,4.65,Approaching Target,30.8%,50.7%,19.4%,11.4%,20.4%,29.5%,2.89,,,,,,,
30Q501,Frank Sinatra School of the Arts High School,N/A,0.6%,1.1%,,103.0%,163.9%,225.7%,,N/A,1.2%,3.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.6%,1.0%,,11.4%,20.4%,29.5%,,,,,,,,
30Q502,Information Technology High School,Meeting Target,18.5%,33.2%,215.1%,103.0%,163.9%,225.7%,3.83,Exceeding Target,18.0%,45.7%,371.4%,110.0%,197.0%,285.2%,4.64,Meeting Target,30.9%,46.4%,145.1%,71.2%,127.5%,184.6%,3.31,Meeting Target,15.5%,39.7%,137.5%,65.3%,116.9%,169.2%,3.39,Meeting Target,30.9%,46.4%,13.9%,7.3%,13.0%,18.9%,3.15,Exceeding Target,30.9%,46.4%,5.6%,1.4%,2.5%,3.7%,4.99,Meeting Target,32.6%,53.6%,25.3%,11.4%,20.4%,29.5%,3.54,,,,,,,
30Q555,Newcomers High School,Exceeding Target,94.2%,100.0%,237.8%,103.0%,163.9%,225.7%,4.13,N/A,0.4%,1.0%,,110.0%,197.0%,285.2%,,Exceeding Target,44.2%,66.4%,217.4%,71.2%,127.5%,184.6%,4.38,Exceeding Target,10.6%,27.2%,206.9%,65.3%,116.9%,169.2%,4.47,Exceeding Target,44.2%,66.4%,58.7%,7.3%,13.0%,18.9%,4.99,Exceeding Target,44.2%,66.4%,22.3%,1.4%,2.5%,3.7%,4.99,Exceeding Target,50.8%,83.6%,38.6%,11.4%,20.4%,29.5%,4.65,,,,,,,
30Q575,Academy of American Studies,N/A,9.6%,17.2%,214.7%,103.0%,163.9%,225.7%,,N/A,9.6%,24.4%,417.6%,110.0%,197.0%,285.2%,,N/A,15.7%,23.6%,228.6%,71.2%,127.5%,184.6%,,N/A,3.9%,10.0%,128.6%,65.3%,116.9%,169.2%,,N/A,15.7%,23.6%,46.4%,7.3%,13.0%,18.9%,,N/A,15.7%,23.6%,3.6%,1.4%,2.5%,3.7%,,Exceeding Target,16.6%,27.3%,30.8%,11.4%,20.4%,29.5%,4.09,,,,,,,
30Q580,Baccalaureate School for Global Education,N/A,0.0%,0.0%,,103.0%,163.9%,225.7%,,N/A,0.0%,0.0%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
31R047,CSI High School for International Studies,N/A,1.7%,3.1%,,103.0%,163.9%,225.7%,,Exceeding Target,16.5%,41.9%,390.0%,110.0%,197.0%,285.2%,4.78,N/A,14.0%,21.0%,244.1%,71.2%,127.5%,184.6%,,N/A,4.1%,10.5%,240.0%,65.3%,116.9%,169.2%,,N/A,14.0%,21.0%,94.1%,7.3%,13.0%,18.9%,,N/A,14.0%,21.0%,29.4%,1.4%,2.5%,3.7%,,Exceeding Target,18.7%,30.8%,36.0%,11.4%,20.4%,29.5%,4.47,,,,,,,
31R064,Gaynor McCown Expeditionary Learning School,N/A,0.9%,1.6%,,103.0%,163.9%,225.7%,,Meeting Target,26.5%,67.3%,220.0%,110.0%,197.0%,285.2%,3.26,N/A,14.2%,21.3%,181.3%,71.2%,127.5%,184.6%,,N/A,7.1%,18.2%,187.5%,65.3%,116.9%,169.2%,,N/A,14.2%,21.3%,12.5%,7.3%,13.0%,18.9%,,N/A,14.2%,21.3%,0.0%,1.4%,2.5%,3.7%,,Exceeding Target,15.4%,25.3%,64.3%,11.4%,20.4%,29.5%,4.99,,,,,,,
31R080,The Michael J. Petrides School,N/A,4.2%,7.5%,200.0%,103.0%,163.9%,225.7%,,Approaching Target,20.0%,50.8%,154.2%,110.0%,197.0%,285.2%,2.51,Approaching Target,25.8%,38.7%,116.1%,71.2%,127.5%,184.6%,2.80,N/A,8.3%,21.3%,100.0%,65.3%,116.9%,169.2%,,Approaching Target,25.8%,38.7%,12.9%,7.3%,13.0%,18.9%,2.98,Meeting Target,25.8%,38.7%,3.2%,1.4%,2.5%,3.7%,3.58,Exceeding Target,20.0%,32.9%,40.0%,11.4%,20.4%,29.5%,4.76,,,,,,,
31R440,New Dorp High School,N/A,8.0%,14.4%,194.6%,103.0%,163.9%,225.7%,,Exceeding Target,21.0%,53.3%,323.1%,110.0%,197.0%,285.2%,4.28,Meeting Target,27.3%,41.0%,167.3%,71.2%,127.5%,184.6%,3.70,N/A,7.4%,19.0%,119.2%,65.3%,116.9%,169.2%,,Exceeding Target,27.3%,41.0%,23.0%,7.3%,13.0%,18.9%,4.46,Meeting Target,27.3%,41.0%,2.6%,1.4%,2.5%,3.7%,3.08,Exceeding Target,35.3%,58.1%,30.8%,11.4%,20.4%,29.5%,4.09,,,,,,,
31R445,Port Richmond High School,N/A,10.7%,19.2%,132.4%,103.0%,163.9%,225.7%,,Exceeding Target,25.7%,65.2%,287.8%,110.0%,197.0%,285.2%,4.02,Meeting Target,45.0%,67.6%,161.2%,71.2%,127.5%,184.6%,3.59,Meeting Target,18.6%,47.7%,168.0%,65.3%,116.9%,169.2%,3.98,Exceeding Target,45.0%,67.6%,20.9%,7.3%,13.0%,18.9%,4.22,Approaching Target,45.0%,67.6%,1.4%,1.4%,2.5%,3.7%,2.00,Meeting Target,44.9%,73.8%,26.4%,11.4%,20.4%,29.5%,3.66,,,,,,,
31R450,Curtis High School,N/A,7.7%,13.8%,148.9%,103.0%,163.9%,225.7%,,Meeting Target,16.6%,42.1%,208.2%,110.0%,197.0%,285.2%,3.13,Meeting Target,34.2%,51.4%,141.5%,71.2%,127.5%,184.6%,3.25,Meeting Target,16.3%,41.8%,140.0%,65.3%,116.9%,169.2%,3.44,Exceeding Target,34.2%,51.4%,23.5%,7.3%,13.0%,18.9%,4.52,Exceeding Target,34.2%,51.4%,5.0%,1.4%,2.5%,3.7%,4.76,Exceeding Target,39.9%,65.6%,29.7%,11.4%,20.4%,29.5%,4.01,,,,,,,
31R455,Tottenville High School,N/A,2.0%,3.6%,122.5%,103.0%,163.9%,225.7%,,Exceeding Target,15.6%,39.6%,313.2%,110.0%,197.0%,285.2%,4.21,N/A,15.3%,23.0%,185.2%,71.2%,127.5%,184.6%,,N/A,2.3%,5.9%,191.3%,65.3%,116.9%,169.2%,,N/A,15.3%,23.0%,17.8%,7.3%,13.0%,18.9%,,N/A,15.3%,23.0%,3.9%,1.4%,2.5%,3.7%,,Exceeding Target,16.5%,27.1%,33.5%,11.4%,20.4%,29.5%,4.29,,,,,,,
31R460,Susan E. Wagner High School,N/A,7.5%,13.5%,187.9%,103.0%,163.9%,225.7%,,Meeting Target,20.1%,51.0%,222.4%,110.0%,197.0%,285.2%,3.29,Meeting Target,25.1%,37.7%,167.7%,71.2%,127.5%,184.6%,3.70,Meeting Target,10.0%,25.6%,167.9%,65.3%,116.9%,169.2%,3.98,Exceeding Target,25.1%,37.7%,25.1%,7.3%,13.0%,18.9%,4.70,Approaching Target,25.1%,37.7%,2.1%,1.4%,2.5%,3.7%,2.64,Exceeding Target,26.4%,43.4%,38.9%,11.4%,20.4%,29.5%,4.68,,,,,,,
31R600,Ralph R. McKee Career and Technical Education High,N/A,6.5%,11.7%,142.9%,103.0%,163.9%,225.7%,,Approaching Target,29.6%,75.1%,195.3%,110.0%,197.0%,285.2%,2.98,Meeting Target,50.9%,76.4%,157.3%,71.2%,127.5%,184.6%,3.52,Exceeding Target,25.9%,66.4%,203.6%,65.3%,116.9%,169.2%,4.43,Exceeding Target,50.9%,76.4%,36.4%,7.3%,13.0%,18.9%,4.99,Not Meeting Target,50.9%,76.4%,0.0%,1.4%,2.5%,3.7%,1.00,Meeting Target,49.3%,81.1%,28.0%,11.4%,20.4%,29.5%,3.84,,,,,,,
31R605,Staten Island Technical High School,N/A,0.3%,0.5%,,103.0%,163.9%,225.7%,,N/A,0.3%,0.8%,,110.0%,197.0%,285.2%,,N/A,0.0%,0.0%,,71.2%,127.5%,184.6%,,N/A,0.0%,0.0%,,65.3%,116.9%,169.2%,,N/A,0.0%,0.0%,,7.3%,13.0%,18.9%,,N/A,0.0%,0.0%,,1.4%,2.5%,3.7%,,N/A,0.0%,0.0%,,11.4%,20.4%,29.5%,,,,,,,,
32K168,The Brooklyn School for Math and Research,N/A,8.8%,15.8%,,103.0%,163.9%,225.7%,,Not Meeting Target,17.6%,44.7%,100.0%,110.0%,197.0%,285.2%,1.91,Exceeding Target,41.2%,61.9%,185.7%,71.2%,127.5%,184.6%,4.01,Approaching Target,23.5%,60.3%,100.0%,65.3%,116.9%,169.2%,2.67,Exceeding Target,41.2%,61.9%,21.4%,7.3%,13.0%,18.9%,4.28,Exceeding Target,41.2%,61.9%,14.3%,1.4%,2.5%,3.7%,4.99,N/A,66.7%,100.0%,,11.4%,20.4%,29.5%,,,,,,,,
32K403,Academy for Environmental Leadership,Meeting Target,45.0%,80.8%,190.3%,103.0%,163.9%,225.7%,3.43,Meeting Target,10.0%,25.4%,243.8%,110.0%,197.0%,285.2%,3.53,Meeting Target,52.5%,78.8%,167.9%,71.2%,127.5%,184.6%,3.71,Meeting Target,23.8%,61.0%,139.5%,65.3%,116.9%,169.2%,3.43,Exceeding Target,52.5%,78.8%,23.8%,7.3%,13.0%,18.9%,4.55,Exceeding Target,52.5%,78.8%,21.4%,1.4%,2.5%,3.7%,4.99,Meeting Target,57.3%,94.2%,27.7%,11.4%,20.4%,29.5%,3.80,,,,,,,
32K545,EBC High School for Public Service - Bushwick,Approaching Target,24.2%,43.4%,144.8%,103.0%,163.9%,225.7%,2.69,Approaching Target,20.0%,50.8%,191.7%,110.0%,197.0%,285.2%,2.94,Meeting Target,59.2%,88.9%,129.6%,71.2%,127.5%,184.6%,3.04,Meeting Target,31.7%,81.3%,134.2%,65.3%,116.9%,169.2%,3.33,Approaching Target,59.2%,88.9%,8.5%,7.3%,13.0%,18.9%,2.21,Approaching Target,59.2%,88.9%,1.4%,1.4%,2.5%,3.7%,2.00,Meeting Target,55.6%,91.4%,23.0%,11.4%,20.4%,29.5%,3.29,,,,,,,
32K549,Bushwick School for Social Justice,Not Meeting Target,19.6%,35.2%,85.0%,103.0%,163.9%,225.7%,1.77,Meeting Target,19.6%,49.7%,200.0%,110.0%,197.0%,285.2%,3.03,Meeting Target,56.9%,85.4%,138.8%,71.2%,127.5%,184.6%,3.20,Approaching Target,28.4%,72.8%,101.7%,65.3%,116.9%,169.2%,2.71,Not Meeting Target,56.9%,85.4%,3.4%,7.3%,13.0%,18.9%,1.47,Approaching Target,56.9%,85.4%,1.7%,1.4%,2.5%,3.7%,2.27,Meeting Target,50.0%,82.2%,26.8%,11.4%,20.4%,29.5%,3.70,,,,,,,
32K552,Academy of Urban Planning,Approaching Target,36.5%,65.5%,151.9%,103.0%,163.9%,225.7%,2.80,Meeting Target,32.4%,82.2%,220.8%,110.0%,197.0%,285.2%,3.27,Meeting Target,70.3%,100.0%,160.6%,71.2%,127.5%,184.6%,3.58,Meeting Target,45.9%,100.0%,142.6%,65.3%,116.9%,169.2%,3.49,Not Meeting Target,70.3%,100.0%,3.8%,7.3%,13.0%,18.9%,1.52,Exceeding Target,70.3%,100.0%,7.7%,1.4%,2.5%,3.7%,4.99,Approaching Target,53.4%,87.8%,19.1%,11.4%,20.4%,29.5%,2.86,,,,,,,
32K554,All City Leadership Secondary School,N/A,10.0%,18.0%,,103.0%,163.9%,225.7%,,Exceeding Target,15.0%,38.1%,333.3%,110.0%,197.0%,285.2%,4.36,N/A,12.5%,18.8%,220.0%,71.2%,127.5%,184.6%,,N/A,5.0%,12.8%,,65.3%,116.9%,169.2%,,N/A,12.5%,18.8%,20.0%,7.3%,13.0%,18.9%,,N/A,12.5%,18.8%,20.0%,1.4%,2.5%,3.7%,,Exceeding Target,29.0%,47.7%,33.3%,11.4%,20.4%,29.5%,4.27,,,,,,,
32K556,Bushwick Leaders High School for Academic Excellen,Approaching Target,24.5%,44.0%,156.5%,103.0%,163.9%,225.7%,2.88,Approaching Target,18.1%,45.9%,111.8%,110.0%,197.0%,285.2%,2.02,Approaching Target,56.4%,84.7%,122.6%,71.2%,127.5%,184.6%,2.91,Approaching Target,24.5%,62.8%,108.7%,65.3%,116.9%,169.2%,2.84,Approaching Target,56.4%,84.7%,7.5%,7.3%,13.0%,18.9%,2.04,Approaching Target,56.4%,84.7%,1.9%,1.4%,2.5%,3.7%,2.45,Meeting Target,49.1%,80.8%,25.5%,11.4%,20.4%,29.5%,3.56,,,,,,,
84K355,Williamsburg Collegiate Charter School,N/A,2.8%,5.0%,,,,,,N/A,2.8%,7.1%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,N/A,0.0%,0.0%,,,,,,,,,,,,
84K356,Achievement First Crown Heights Charter School,N/A,0.0%,0.0%,,,,,,N/A,8.0%,20.3%,,,,,,N/A,8.0%,12.0%,,,,,,N/A,4.0%,10.3%,,,,,,N/A,8.0%,12.0%,,,,,,N/A,8.0%,12.0%,,,,,,N/A,19.0%,31.3%,,,,,,,,,,,,
